username,repo_name,stars,repo_url
public-apis,public-apis,161000,https://github.com/public-apis/public-apis
httpie,httpie,52100,https://github.com/httpie/httpie
neovim,neovim,47400,https://github.com/neovim/neovim
strapi,strapi,40100,https://github.com/strapi/strapi
tiangolo,fastapi,36400,https://github.com/tiangolo/fastapi
slatedocs,slate,33200,https://github.com/slatedocs/slate
hoppscotch,hoppscotch,31500,https://github.com/hoppscotch/hoppscotch
hasura,graphql-engine,24100,https://github.com/hasura/graphql-engine
YMFE,yapi,22600,https://github.com/YMFE/yapi
encode,django-rest-framework,22000,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,21800,https://github.com/littlecodersh/ItChat
Binaryify,NeteaseCloudMusicApi,21500,https://github.com/Binaryify/NeteaseCloudMusicApi
ccxt,ccxt,21300,https://github.com/ccxt/ccxt
paularmstrong,normalizr,20500,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,19900,https://github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,18000,https://github.com/Kong/insomnia
microsoft,api-guidelines,17600,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,16000,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13300,https://github.com/learn-anything/learn-anything
youfou,wxpy,13000,https://github.com/youfou/wxpy
jsdoc,jsdoc,12400,https://github.com/jsdoc/jsdoc
directus,directus,12200,https://github.com/directus/directus
BrainJS,brain.js,12200,https://github.com/BrainJS/brain.js
ChainSafe,web3.js,11500,https://github.com/ChainSafe/web3.js
graphile,postgraphile,10700,https://github.com/graphile/postgraphile
micro,micro,10400,https://github.com/micro/micro
postmanlabs,httpbin,10200,https://github.com/postmanlabs/httpbin
go-chi,chi,10200,https://github.com/go-chi/chi
star7th,showdoc,9900,https://github.com/star7th/showdoc
OpenAPITools,openapi-generator,9900,https://github.com/OpenAPITools/openapi-generator
