username,repo_name,stars,repo_url
amphp,amp,3400,https://github.com/amphp/amp
danog,MadelineProto,1700,https://github.com/danog/MadelineProto
amphp,http-server,1100,https://github.com/amphp/http-server
unreal4u,telegram-api,670,https://github.com/unreal4u/telegram-api
amphp,http-client,579,https://github.com/amphp/http-client
amphp,parallel,520,https://github.com/amphp/parallel
php-service-bus,service-bus,301,https://github.com/php-service-bus/service-bus
amphp,mysql,247,https://github.com/amphp/mysql
amphp,byte-stream,242,https://github.com/amphp/byte-stream
amphp,parallel-functions,196,https://github.com/amphp/parallel-functions
amphp,process,138,https://github.com/amphp/process
amphp,socket,135,https://github.com/amphp/socket
amphp,redis,116,https://github.com/amphp/redis
kelunik,acme,104,https://github.com/kelunik/acme
amphp,dns,95,https://github.com/amphp/dns
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,websocket-client,90,https://github.com/amphp/websocket-client
amphp,sync,80,https://github.com/amphp/sync
jolicode,asynit,67,https://github.com/jolicode/asynit
amphp,websocket-server,65,https://github.com/amphp/websocket-server
amphp,postgres,58,https://github.com/amphp/postgres
amphp,file,57,https://github.com/amphp/file
amphp,cache,55,https://github.com/amphp/cache
amphp,beanstalk,55,https://github.com/amphp/beanstalk
amphp,windows-registry,52,https://github.com/amphp/windows-registry
amphp,hpack,50,https://github.com/amphp/hpack
amphp,serialization,50,https://github.com/amphp/serialization
phpinnacle,ridge,42,https://github.com/phpinnacle/ridge
amphp,aerys,41,https://github.com/amphp/aerys
Room-11,Jeeves,40,https://github.com/Room-11/Jeeves
