username,repo_name,stars,repo_url
babel,babel,39700,https://github.com/babel/babel
nylas,nylas-mail,24600,https://github.com/nylas/nylas-mail
kriasoft,react-starter-kit,21000,https://github.com/kriasoft/react-starter-kit
avajs,ava,19300,https://github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,18300,https://github.com/electron-react-boilerplate/electron-react-boilerplate
swc-project,swc,15400,https://github.com/swc-project/swc
SimulatedGREG,electron-vue,14400,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14000,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,10400,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,7600,https://github.com/grommet/grommet
developit,htm,7200,https://github.com/developit/htm
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5400,https://github.com/documentationjs/documentation
insin,nwb,5400,https://github.com/insin/nwb
egoist,poi,5300,https://github.com/egoist/poi
thinkjs,thinkjs,5200,https://github.com/thinkjs/thinkjs
ben-rogerson,twin.macro,4800,https://github.com/ben-rogerson/twin.macro
babel,babel-loader,4500,https://github.com/babel/babel-loader
transitive-bullshit,create-react-library,4500,https://github.com/transitive-bullshit/create-react-library
jaredpalmer,backpack,4500,https://github.com/jaredpalmer/backpack
duxianwei520,react,4300,https://github.com/duxianwei520/react
babel,minify,4300,https://github.com/babel/minify
fkling,astexplorer,4200,https://github.com/fkling/astexplorer
tleunen,babel-plugin-module-resolver,3100,https://github.com/tleunen/babel-plugin-module-resolver
andywer,webpack-blocks,3000,https://github.com/andywer/webpack-blocks
babel,babel-eslint,3000,https://github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
uidotdev,react-course,2500,https://github.com/uidotdev/react-course
Atyantik,react-pwa,2400,https://github.com/Atyantik/react-pwa
kentcdodds,babel-plugin-macros,2300,https://github.com/kentcdodds/babel-plugin-macros
