username,repo_name,stars,repo_url
Genymobile,scrcpy,55200,https://github.com/Genymobile/scrcpy
neovim,neovim,47400,https://github.com/neovim/neovim
git,git,39600,https://github.com/git/git
fffaraz,awesome-cpp,33700,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,31400,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,28300,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,26300,https://github.com/FFmpeg/FFmpeg
vim,vim,24800,https://github.com/vim/vim
ggreer,the_silver_searcher,22600,https://github.com/ggreer/the_silver_searcher
curl,curl,22100,https://github.com/curl/curl
huihut,interview,20700,https://github.com/huihut/interview
ruby,ruby,18500,https://github.com/ruby/ruby
google,flatbuffers,16900,https://github.com/google/flatbuffers
mpv-player,mpv,16100,https://github.com/mpv-player/mpv
oracle,graal,16000,https://github.com/oracle/graal
pbatard,rufus,16000,https://github.com/pbatard/rufus
radareorg,radare2,15000,https://github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14600,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,13800,https://github.com/allinurl/goaccess
microsoft,vcpkg,13800,https://github.com/microsoft/vcpkg
vurtun,nuklear,13300,https://github.com/vurtun/nuklear
facebook,infer,12600,https://github.com/facebook/infer
jarun,nnn,12300,https://github.com/jarun/nnn
kovidgoyal,kitty,12300,https://github.com/kovidgoyal/kitty
CoatiSoftware,Sourcetrail,12000,https://github.com/CoatiSoftware/Sourcetrail
TheAlgorithms,C,10800,https://github.com/TheAlgorithms/C
s-matyukevich,raspberry-pi-os,10800,https://github.com/s-matyukevich/raspberry-pi-os
qmk,qmk_firmware,10600,https://github.com/qmk/qmk_firmware
hashcat,hashcat,10600,https://github.com/hashcat/hashcat
jonas,tig,10300,https://github.com/jonas/tig
